circle,division,subdivision,section,area,catdesc,catcode,totservices,billdservices,units,load
SAROORNAGAR,CHAMPAPET,CHAMPAPET,LENIN NAGAR,VINAYAKA HILLS II,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,7,7.0,2163.0,14.0
SAROORNAGAR,CHAMPAPET,CHAMPAPET,LENIN NAGAR,VIRAT NAGAR,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,16,16.0,3962.0,38.7
SAROORNAGAR,CHAMPAPET,CHAMPAPET,MEERPET,ADARSH HOMES,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,1,1.0,82.0,2.2
SAROORNAGAR,SAROORNAGAR,L B NAGAR,BANDLAGUDA,ADARSHNAGAR COLONY,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,4,4.0,742.0,8.0
SAROORNAGAR,SAROORNAGAR,L B NAGAR,BANDLAGUDA,AJAY NAGAR COLONY,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,13,11.0,2817.0,35.0
SAROORNAGAR,CHAMPAPET,CHAMPAPET,MEERPET,AMBEDKAR NAGAR MPT,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,1,1.0,0.0,5.25
SAROORNAGAR,CHAMPAPET,CHAMPAPET,MEERPET,BANDI SATHAIAH COLONY,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,111,111.0,75038.0,388.85
SAROORNAGAR,CHAMPAPET,CHAMPAPET,MEERPET,BHUPESH GUPTA NAGR,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,6,6.0,1202.0,14.53
SAROORNAGAR,CHAMPAPET,CHAMPAPET,MEERPET,DLRL COLONY,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,1,1.0,1012.0,3.75
SAROORNAGAR,CHAMPAPET,CHAMPAPET,MEERPET,GAYATRI HOMES,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,2,2.0,313.0,4.0
SAROORNAGAR,CHAMPAPET,CHAMPAPET,MEERPET,GAYATRI NAGAR,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,2,2.0,208.0,7.46
SAROORNAGAR,CHAMPAPET,CHAMPAPET,MEERPET,HANUMAN NAGAR,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,3,3.0,745.0,6.0
SAROORNAGAR,CHAMPAPET,VANASTHALIPURAM,VANASTHALIPURAM,STREET LIGHTS,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,352,352.0,107305.0,1442.13
SAROORNAGAR,SAROORNAGAR,L B NAGAR,BANDLAGUDA,ANAND NAGAR COLONY,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,13,13.0,5283.0,28.6
SAROORNAGAR,SAROORNAGAR,L B NAGAR,BANDLAGUDA,ARUNODAYA COLONY,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,14,14.0,3369.0,31.63
SAROORNAGAR,SAROORNAGAR,L B NAGAR,BANDLAGUDA,ARUNODAYA COLONY-II,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,2,2.0,691.0,3.0
SAROORNAGAR,SAROORNAGAR,L B NAGAR,BANDLAGUDA,BALAJI ENCLAVE,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,14,14.0,3599.0,23.0
SAROORNAGAR,SAROORNAGAR,L B NAGAR,BANDLAGUDA,BANDLAGUDA,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,19,18.0,3989.0,40.75
SAROORNAGAR,SAROORNAGAR,L B NAGAR,BANDLAGUDA,BLINDS COLONY,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,20,20.0,2500.0,58.5
SAROORNAGAR,SAROORNAGAR,L B NAGAR,BANDLAGUDA,CHANIKYAPURI COLON,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,5,5.0,1514.0,9.0
SAROORNAGAR,SAROORNAGAR,L B NAGAR,BANDLAGUDA,CO-OP.BANK COLONY,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,13,13.0,2992.0,37.75
SAROORNAGAR,SAROORNAGAR,L B NAGAR,BANDLAGUDA,ENVIRON ESTATES,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,1,1.0,117.0,2.0
SAROORNAGAR,SAROORNAGAR,L B NAGAR,BANDLAGUDA,FATEHULLAGUDA,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,11,11.0,2776.0,34.75
SAROORNAGAR,SAROORNAGAR,L B NAGAR,BANDLAGUDA,GANESHNAGAR COLONY,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,12,12.0,2369.0,22.0
SAROORNAGAR,SAROORNAGAR,L B NAGAR,BANDLAGUDA,GSI HOUSINGBOARD,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,2,2.0,604.0,3.0
SAROORNAGAR,CHAMPAPET,CHAMPAPET,MEERPET,KAMALA NEHRU COLON,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,1,1.0,1208.0,3.75
SAROORNAGAR,CHAMPAPET,CHAMPAPET,MEERPET,MEERPET,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,139,139.0,33482.0,348.55
SAROORNAGAR,CHAMPAPET,CHAMPAPET,MEERPET,MEERPET DISTRIBUTION,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,2,2.0,238.0,5.0
SAROORNAGAR,CHAMPAPET,CHAMPAPET,MEERPET,NANDANAVANAM,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,21,21.0,4683.0,58.55
SAROORNAGAR,SAROORNAGAR,L B NAGAR,BANDLAGUDA,HANUMAN NAGAR,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,9,9.0,2246.0,15.0
