Circle,Division,SubDivision,Section,Area,CatCode,CatDesc,TotServices,BilledServices,Units,Load
ASIFABAD,ASIFABAD,ASIFABAD RURAL,THIRYANI,KOYATALANDI,5,Agriculture,23,0,0,115
ASIFABAD,ASIFABAD,ASIFABAD RURAL,THIRYANI,KURLANKA,5,Agriculture,3,0,0,15
ASIFABAD,ASIFABAD,ASIFABAD RURAL,THIRYANI,LAXMIPOOR,5,Agriculture,3,0,0,15
ASIFABAD,ASIFABAD,ASIFABAD RURAL,THIRYANI,LINGIGUDA,5,Agriculture,6,0,0,30
ASIFABAD,ASIFABAD,ASIFABAD RURAL,THIRYANI,MAGURMAD,5,Agriculture,10,0,0,50
ASIFABAD,ASIFABAD,ASIFABAD RURAL,THIRYANI,MAHNDRAGUDIPET,5,Agriculture,16,0,0,80
ASIFABAD,ASIFABAD,ASIFABAD RURAL,THIRYANI,MANDRUMEDA,5,Agriculture,5,0,0,25
ASIFABAD,ASIFABAD,ASIFABAD RURAL,THIRYANI,MANGI,5,Agriculture,60,0,0,300
ASIFABAD,SIRPUR KAGAZNAGAR,KOWTALA,KOWTALA,GUDLABORI,5,Agriculture,343,0,0,1722.5
ASIFABAD,SIRPUR KAGAZNAGAR,KOWTALA,KOWTALA,GUNDAIPET,5,Agriculture,225,0,0,1127.5
ASIFABAD,SIRPUR KAGAZNAGAR,KOWTALA,KOWTALA,GURUDPET,5,Agriculture,128,0,0,640
ASIFABAD,SIRPUR KAGAZNAGAR,KOWTALA,KOWTALA,KANKI,5,Agriculture,70,0,0,350
ASIFABAD,SIRPUR KAGAZNAGAR,KOWTALA,KOWTALA,KANNE PALLY,5,Agriculture,25,0,0,125
ASIFABAD,SIRPUR KAGAZNAGAR,KOWTALA,KOWTALA,KORSINI,5,Agriculture,5,0,0,25
ASIFABAD,SIRPUR KAGAZNAGAR,KOWTALA,KOWTALA,KOWTALA,5,Agriculture,143,0,0,715
ASIFABAD,SIRPUR KAGAZNAGAR,KOWTALA,KOWTALA,KOYA GUDEM,5,Agriculture,3,0,0,15
ASIFABAD,SIRPUR KAGAZNAGAR,KOWTALA,KOWTALA,KUMBARI,5,Agriculture,141,0,0,705
ASIFABAD,SIRPUR KAGAZNAGAR,KOWTALA,KOWTALA,LAMBERHETTI,5,Agriculture,3,0,0,15
ASIFABAD,SIRPUR KAGAZNAGAR,KOWTALA,KOWTALA,MOGADUDAGADU,5,Agriculture,123,0,0,615
ASIFABAD,SIRPUR KAGAZNAGAR,KOWTALA,KOWTALA,MUTHYAMPET,5,Agriculture,258,0,0,1290
BHADRADRI KOTHAGUDEM,BHADRACHALAM,CHERLA,DUMMUGUDEM,KOYA NARSAPURAM,5,Agriculture,3,0,0,15
BHADRADRI KOTHAGUDEM,BHADRACHALAM,CHERLA,DUMMUGUDEM,LATCHIGUDEM,5,Agriculture,4,0,0,40
BHADRADRI KOTHAGUDEM,BHADRACHALAM,CHERLA,DUMMUGUDEM,LAXMI NAGARAM,5,Agriculture,7,0,0,35
BHADRADRI KOTHAGUDEM,BHADRACHALAM,CHERLA,DUMMUGUDEM,LINGAPURAM,5,Agriculture,2,0,0,30
BHADRADRI KOTHAGUDEM,BHADRACHALAM,CHERLA,DUMMUGUDEM,MAHEDAVAPURAM,5,Agriculture,11,0,0,55
BHADRADRI KOTHAGUDEM,BHADRACHALAM,CHERLA,DUMMUGUDEM,MARAIGUDEM,5,Agriculture,4,0,0,20
BHADRADRI KOTHAGUDEM,BHADRACHALAM,CHERLA,DUMMUGUDEM,MAREDUBAKA,5,Agriculture,19,0,0,120
BHADRADRI KOTHAGUDEM,BHADRACHALAM,CHERLA,DUMMUGUDEM,MULAKAPADU,5,Agriculture,5,0,0,25
BHADRADRI KOTHAGUDEM,BHADRACHALAM,CHERLA,DUMMUGUDEM,MULKANAPALLY(D),5,Agriculture,18,1,0,90
BHADRADRI KOTHAGUDEM,BHADRACHALAM,CHERLA,DUMMUGUDEM,N.LAXMIPURAM,5,Agriculture,63,0,0,273
BHADRADRI KOTHAGUDEM,BHADRACHALAM,CHERLA,DUMMUGUDEM,NADIKUDI,5,Agriculture,8,0,0,45
BHADRADRI KOTHAGUDEM,KOTHAGUDEM,KOTHAGUDEM,CHUNCHUPALLY,MULUGUDEM- KR,5,Agriculture,30,0,0,150
BHADRADRI KOTHAGUDEM,KOTHAGUDEM,KOTHAGUDEM,CHUNCHUPALLY,PENAGADAPA-KR,5,Agriculture,84,0,0,525
BHADRADRI KOTHAGUDEM,KOTHAGUDEM,KOTHAGUDEM,CHUNCHUPALLY,RAMPURAM-KR,5,Agriculture,44,0,0,262.5
BHADRADRI KOTHAGUDEM,KOTHAGUDEM,KOTHAGUDEM,KOTHAGUDEM - NORTH,KTDM BAZAR NORTH,5,Agriculture,1,0,0,5
BHADRADRI KOTHAGUDEM,KOTHAGUDEM,KOTHAGUDEM,KOTHAGUDEM - NORTH,OLD KOTHAGUDEM,5,Agriculture,151,0,0,790
BHADRADRI KOTHAGUDEM,KOTHAGUDEM,KOTHAGUDEM,KOTHAGUDEM - NORTH,PENUBALLI-KR,5,Agriculture,83,0,0,452.5
BHADRADRI KOTHAGUDEM,KOTHAGUDEM,LAXMIDEVIPALLY,BOMMANAPALLY,KOTHA TANDA-TP,5,Agriculture,278,0,0,1405
BHADRADRI KOTHAGUDEM,KOTHAGUDEM,LAXMIDEVIPALLY,BOMMANAPALLY,KOTHA THANDA(B)-TP,5,Agriculture,76,0,0,380
BHADRADRI KOTHAGUDEM,KOTHAGUDEM,LAXMIDEVIPALLY,BOMMANAPALLY,KOYA GUDEM-TP,5,Agriculture,192,0,0,960
BHADRADRI KOTHAGUDEM,KOTHAGUDEM,LAXMIDEVIPALLY,BOMMANAPALLY,KRISTARAM-TP,5,Agriculture,34,0,0,170
BHADRADRI KOTHAGUDEM,KOTHAGUDEM,LAXMIDEVIPALLY,BOMMANAPALLY,LATCHA GUDEM-TP,5,Agriculture,33,0,0,165
BHADRADRI KOTHAGUDEM,KOTHAGUDEM,LAXMIDEVIPALLY,BOMMANAPALLY,LAXMI PURAM(M)- TP,5,Agriculture,6,0,0,30
BHADRADRI KOTHAGUDEM,KOTHAGUDEM,LAXMIDEVIPALLY,BOMMANAPALLY,LAXMIPURAM 78-TP,5,Agriculture,18,0,0,90
BHADRADRI KOTHAGUDEM,KOTHAGUDEM,LAXMIDEVIPALLY,BOMMANAPALLY,MADRAS TANDA-TP,5,Agriculture,44,0,0,225
BHADRADRI KOTHAGUDEM,KOTHAGUDEM,LAXMIDEVIPALLY,BOMMANAPALLY,MANGYA TANDA-TP,5,Agriculture,43,0,0,215
BHADRADRI KOTHAGUDEM,KOTHAGUDEM,LAXMIDEVIPALLY,BOMMANAPALLY,MELLA MADUGU-TP,5,Agriculture,19,0,0,160
BHADRADRI KOTHAGUDEM,KOTHAGUDEM,LAXMIDEVIPALLY,BOMMANAPALLY,MUTHYALAM PADU-TP,5,Agriculture,159,0,0,862.5
BHADRADRI KOTHAGUDEM,KOTHAGUDEM,YELLANDU,YLD RURAL,C VEPALA GADDA-YR,5,Agriculture,16,0,0,80
BHADRADRI KOTHAGUDEM,KOTHAGUDEM,YELLANDU,YLD RURAL,CHALLA SAMUDRAM-YR,5,Agriculture,383,0,0,1915
BHADRADRI KOTHAGUDEM,KOTHAGUDEM,YELLANDU,YLD RURAL,CHAPALAVARI GUMPU-YR,5,Agriculture,3,0,0,15
BHADRADRI KOTHAGUDEM,KOTHAGUDEM,YELLANDU,YLD RURAL,DANDAGUNDALA - YR,5,Agriculture,18,0,0,90
BHADRADRI KOTHAGUDEM,KOTHAGUDEM,YELLANDU,YLD RURAL,DANIYALAPADU-YR,5,Agriculture,80,0,0,400
BHADRADRI KOTHAGUDEM,KOTHAGUDEM,YELLANDU,YLD RURAL,DHARMAPURAM-YR,5,Agriculture,129,0,0,665
BHADRADRI KOTHAGUDEM,KOTHAGUDEM,YELLANDU,YLD RURAL,DHARMARAM THANDA-YR,5,Agriculture,172,0,0,895.35
BHADRADRI KOTHAGUDEM,KOTHAGUDEM,YELLANDU,YLD RURAL,EDUPULA GUDEM-YR,5,Agriculture,90,0,0,450
BHADRADRI KOTHAGUDEM,KOTHAGUDEM,YELLANDU,YLD RURAL,K MANIKYARAM-YR,5,Agriculture,527,0,0,2635
BHADRADRI KOTHAGUDEM,KOTHAGUDEM,YELLANDU,YLD RURAL,KATTU GUDEM-YR,5,Agriculture,54,0,0,270
BHADRADRI KOTHAGUDEM,KOTHAGUDEM,YELLANDU,YLD RURAL,KOLLA PURAM-YR,5,Agriculture,17,0,0,85
BHADRADRI KOTHAGUDEM,PALONCHA,PALVANCHA,MULKALAPALLY,KOTHAGUNDALAPADU,5,Agriculture,13,0,0,65
BHADRADRI KOTHAGUDEM,PALONCHA,PALVANCHA,MULKALAPALLY,KOTHAJINNELA GUDEM,5,Agriculture,2,0,0,12.5
BHADRADRI KOTHAGUDEM,PALONCHA,PALVANCHA,MULKALAPALLY,KOTHURU-MP,5,Agriculture,46,0,0,247.5
BHADRADRI KOTHAGUDEM,PALONCHA,PALVANCHA,MULKALAPALLY,KUMMARIPADU,5,Agriculture,17,0,0,97.5
BHADRADRI KOTHAGUDEM,PALONCHA,PALVANCHA,MULKALAPALLY,MADHARAM-MP,5,Agriculture,49,1,344,247.5
BHADRADRI KOTHAGUDEM,PALONCHA,PALVANCHA,MULKALAPALLY,MAMILLAGUDEM,5,Agriculture,27,0,0,170
BHADRADRI KOTHAGUDEM,PALONCHA,PALVANCHA,MULKALAPALLY,MANGALI GUTTA,5,Agriculture,22,0,0,185
BHADRADRI KOTHAGUDEM,PALONCHA,PALVANCHA,MULKALAPALLY,MANGAPET,5,Agriculture,36,0,0,192.5
BHADRADRI KOTHAGUDEM,PALONCHA,PALVANCHA,MULKALAPALLY,MODIVAREE(MUL),5,Agriculture,1,0,0,10
BHADRADRI KOTHAGUDEM,PALONCHA,PALVANCHA,MULKALAPALLY,MOGARALA GUPPA,5,Agriculture,31,0,0,177.5
BHADRADRI KOTHAGUDEM,PALONCHA,PALVANCHA,MULKALAPALLY,MOTUGUDEM,5,Agriculture,9,0,0,62.5
BHADRADRI KOTHAGUDEM,PALONCHA,PALVANCHA,MULKALAPALLY,MUKAMAMIDI,5,Agriculture,76,0,0,452.5
BHUPALAPALLY,BHUPALAPALLY,BHOOPALPALLY,REGONDA,KOTANCHA,5,Agriculture,151,0,0,756
BHUPALAPALLY,BHUPALAPALLY,BHOOPALPALLY,REGONDA,KOTHAPALLY (GORI),5,Agriculture,352,0,0,1760
BHUPALAPALLY,BHUPALAPALLY,BHOOPALPALLY,REGONDA,Kothapally(b),5,Agriculture,10,0,0,50
BHUPALAPALLY,BHUPALAPALLY,BHOOPALPALLY,REGONDA,LINGALA,5,Agriculture,248,0,0,1240
BHUPALAPALLY,BHUPALAPALLY,BHOOPALPALLY,REGONDA,MADTHAPALLI,5,Agriculture,340,0,0,1700
BHUPALAPALLY,BHUPALAPALLY,BHOOPALPALLY,REGONDA,NAGURLAPALLI-KPARTHY,5,Agriculture,141,0,0,705
BHUPALAPALLY,BHUPALAPALLY,BHOOPALPALLY,REGONDA,NARAYANAPUR  (B.PET),5,Agriculture,70,0,0,350
BHUPALAPALLY,BHUPALAPALLY,BHOOPALPALLY,REGONDA,NARSINGA POOR,5,Agriculture,6,0,0,30
BHUPALAPALLY,BHUPALAPALLY,BHOOPALPALLY,REGONDA,NIZAMPALLI  (K.GORI),5,Agriculture,433,0,0,2165
BHUPALAPALLY,BHUPALAPALLY,BHOOPALPALLY,REGONDA,PEDDAMPALLI(REGONDA),5,Agriculture,15,0,0,75
BHUPALAPALLY,BHUPALAPALLY,BHOOPALPALLY,REGONDA,POCHAMPALLI(LINGALA),5,Agriculture,197,0,0,985
BHUPALAPALLY,BHUPALAPALLY,KATARAM,MAHADEVPUR,PEDDAMPET,5,Agriculture,77,0,0,385
BHUPALAPALLY,BHUPALAPALLY,KATARAM,MAHADEVPUR,PUSUKUPALLY,5,Agriculture,36,0,0,185
BHUPALAPALLY,BHUPALAPALLY,KATARAM,MAHADEVPUR,RAPALLIKOTA,5,Agriculture,102,0,0,538
BHUPALAPALLY,BHUPALAPALLY,KATARAM,MAHADEVPUR,SURARAM,5,Agriculture,287,0,0,1437.5
BHUPALAPALLY,BHUPALAPALLY,KATARAM,MAHAMUTHARAM,BORLAGUDEM,5,Agriculture,51,0,0,287.5
BHUPALAPALLY,BHUPALAPALLY,KATARAM,MAHAMUTHARAM,DOBBAKAPALEM,5,Agriculture,18,0,0,92
BHUPALAPALLY,BHUPALAPALLY,KATARAM,MAHAMUTHARAM,DUMPALAPALLY,5,Agriculture,17,0,0,90
BHUPALAPALLY,BHUPALAPALLY,KATARAM,MAHAMUTHARAM,GANDIKAMARAM,5,Agriculture,125,0,0,649.5
BHUPALAPALLY,BHUPALAPALLY,KATARAM,MAHAMUTHARAM,JEELA PALLY,5,Agriculture,53,0,0,302
BHUPALAPALLY,BHUPALAPALLY,KATARAM,MAHAMUTHARAM,KANUKUNOOR,5,Agriculture,51,0,0,255
BHUPALAPALLY,BHUPALAPALLY,KATARAM,MAHAMUTHARAM,KISTAPOOR,5,Agriculture,39,0,0,195
BHUPALAPALLY,BHUPALAPALLY,KATARAM,MAHAMUTHARAM,KONAMPET,5,Agriculture,140,0,0,950
BHUPALAPALLY,MULUGU,MULUG,MULUGU,MADANPALLI,5,Agriculture,24,0,0,120
BHUPALAPALLY,MULUGU,MULUG,MULUGU,MADHAVARAOPALLI,5,Agriculture,1,0,0,5
BHUPALAPALLY,MULUGU,MULUG,MULUGU,MULUGU,5,Agriculture,74,0,0,375
BHUPALAPALLY,MULUGU,MULUG,MULUGU,PAGADAPALLI,5,Agriculture,60,0,0,300
BHUPALAPALLY,MULUGU,MULUG,MULUGU,PALSAPALLI,5,Agriculture,64,0,0,320
BHUPALAPALLY,MULUGU,MULUG,MULUGU,PANCHOTHUKULAPALLY,5,Agriculture,62,0,0,316
BHUPALAPALLY,MULUGU,MULUG,MULUGU,PATHIPALLY,5,Agriculture,201,0,0,1005
BHUPALAPALLY,MULUGU,MULUG,MULUGU,POTLAPOOR,5,Agriculture,92,0,0,466
BHUPALAPALLY,MULUGU,MULUG,MULUGU,PULIGUNDAM,5,Agriculture,55,0,0,275
BHUPALAPALLY,MULUGU,MULUG,MULUGU,RAINIGUDEM,5,Agriculture,64,0,0,316
BHUPALAPALLY,MULUGU,MULUG,MULUGU,RAMNAGAR,5,Agriculture,17,0,0,85
BHUPALAPALLY,MULUGU,MULUG,MULUGU,RANGARAOPALLI,5,Agriculture,24,0,0,120
BHUPALAPALLY,MULUGU,MULUG,MULUGU,SARVAPOOR,5,Agriculture,116,0,0,576
HANUMAKONDA,HANAMKONDA/RURAL,PARKAL,DAMERA,PASARAGONDA,5,Agriculture,283,0,0,1415
HANUMAKONDA,HANAMKONDA/RURAL,PARKAL,DAMERA,PULUKURTY,5,Agriculture,390,0,0,1950
HANUMAKONDA,HANAMKONDA/RURAL,PARKAL,DAMERA,SINGARAJAPALLY,5,Agriculture,91,0,0,455
HANUMAKONDA,HANAMKONDA/RURAL,PARKAL,DAMERA,SITHARAMPUR,5,Agriculture,90,0,0,450
HANUMAKONDA,HANAMKONDA/RURAL,PARKAL,DAMERA,THAKALAPAHAD,5,Agriculture,143,0,0,715
HANUMAKONDA,HANAMKONDA/RURAL,PARKAL,DAMERA,VENKATAPUR,5,Agriculture,181,0,0,905
HANUMAKONDA,HANAMKONDA/RURAL,PARKAL,PARKAL(RURAL),CHERLAPALLI,5,Agriculture,225,0,0,1125
HANUMAKONDA,HANAMKONDA/RURAL,PARKAL,PARKAL(RURAL),CHOWTAPARTHY,5,Agriculture,274,2,1,1372.5
HANUMAKONDA,HANAMKONDA/RURAL,PARKAL,PARKAL(RURAL),DHARMARAM,5,Agriculture,213,0,0,1065
HANUMAKONDA,HANAMKONDA/RURAL,PARKAL,PARKAL(RURAL),GOLLAPALLI,5,Agriculture,6,0,0,30
HANUMAKONDA,HANAMKONDA/RURAL,PARKAL,PARKAL(RURAL),IBOTHPALLI,5,Agriculture,18,0,0,90
BHUPALAPALLY,MULUGU,N. VENKATAPURAM,WAZEEDU,PEDDAGANGARAM,5,Agriculture,15,0,0,85
BHUPALAPALLY,MULUGU,N. VENKATAPURAM,WAZEEDU,PEROORU,5,Agriculture,159,0,0,815
BHUPALAPALLY,MULUGU,N. VENKATAPURAM,WAZEEDU,PRAGALLAPALLI <W>,5,Agriculture,7,0,0,35
BHUPALAPALLY,MULUGU,N. VENKATAPURAM,WAZEEDU,PUSUR,5,Agriculture,95,0,0,475
BHUPALAPALLY,MULUGU,N. VENKATAPURAM,WAZEEDU,RAMPURAM,5,Agriculture,62,0,0,310
BHUPALAPALLY,MULUGU,N. VENKATAPURAM,WAZEEDU,SUNDARAIAH COLONY,5,Agriculture,1,0,0,5
BHUPALAPALLY,MULUGU,N. VENKATAPURAM,WAZEEDU,TEKULA GUDEM,5,Agriculture,12,0,0,70
BHUPALAPALLY,MULUGU,N. VENKATAPURAM,WAZEEDU,WAZEEDU,5,Agriculture,14,0,0,70
HANUMAKONDA,HANAMKONDA/RURAL,BD Pally,BHEEMDEVARAPALLY,BHEEMDEVARAPALLY,5,Agriculture,277,0,0,1435
HANUMAKONDA,HANAMKONDA/RURAL,BD Pally,BHEEMDEVARAPALLY,Gandhi nagar,5,Agriculture,1,0,0,5
HANUMAKONDA,HANAMKONDA/RURAL,BD Pally,BHEEMDEVARAPALLY,KOPPUR,5,Agriculture,310,0,0,1562.5
ADILABAD,ADILABAD,ECHODA,BAZARHATHNOOR,BOSRA,5,Agriculture,127,0,0,637.5
ADILABAD,ADILABAD,ECHODA,BAZARHATHNOOR,BURKAPALLY,5,Agriculture,12,0,0,60
ADILABAD,ADILABAD,ECHODA,BAZARHATHNOOR,BUTHAI (B),5,Agriculture,102,0,0,510
ADILABAD,ADILABAD,ECHODA,BAZARHATHNOOR,BUTHAI (K),5,Agriculture,75,0,0,375
ADILABAD,ADILABAD,ECHODA,BAZARHATHNOOR,CHINNAHATHNOOR,5,Agriculture,2,0,0,10
ADILABAD,ADILABAD,ECHODA,BAZARHATHNOOR,CHINTAKARRA,5,Agriculture,7,0,0,35
ADILABAD,ADILABAD,ECHODA,BAZARHATHNOOR,CHINTHALSANGVI,5,Agriculture,65,0,0,325
ADILABAD,ADILABAD,ECHODA,BAZARHATHNOOR,Chandunaik thanda,5,Agriculture,3,0,0,15
ADILABAD,ADILABAD,ECHODA,BAZARHATHNOOR,DEHGAON,5,Agriculture,143,0,0,715
ADILABAD,ADILABAD,ECHODA,BAZARHATHNOOR,DHARMAPURI,5,Agriculture,12,0,0,60
ADILABAD,ADILABAD,ECHODA,BAZARHATHNOOR,DIGNOOR,5,Agriculture,56,0,0,280
ADILABAD,ADILABAD,JAINATH,BELA,KHOGDUR,5,Agriculture,38,0,0,190
ADILABAD,ADILABAD,JAINATH,BELA,KOBBAI,5,Agriculture,26,0,0,132.5
ADILABAD,ADILABAD,JAINATH,BELA,MALYALPUR,5,Agriculture,23,0,0,115
ADILABAD,ADILABAD,JAINATH,BELA,MANGROOL,5,Agriculture,8,0,0,40
ADILABAD,ADILABAD,JAINATH,BELA,MASALA (B),5,Agriculture,54,0,0,270
ADILABAD,ADILABAD,JAINATH,BELA,MOHABBATPUR,5,Agriculture,42,0,0,210
ADILABAD,ADILABAD,JAINATH,BELA,PATAN,5,Agriculture,52,0,0,260
ADILABAD,ADILABAD,JAINATH,BELA,PITGOAN,5,Agriculture,9,0,0,45
ADILABAD,ADILABAD,JAINATH,BELA,POHARD,5,Agriculture,7,0,0,35
ADILABAD,ADILABAD,JAINATH,BELA,PONALA,5,Agriculture,30,0,0,150
ADILABAD,UTNOOR,UTNOOR,NARNOOR,LOKARI (B),5,Agriculture,45,0,0,225
ADILABAD,UTNOOR,UTNOOR,NARNOOR,LOKARI (K),5,Agriculture,38,0,0,190
ADILABAD,UTNOOR,UTNOOR,NARNOOR,MAHAGOAN (N),5,Agriculture,31,0,0,155
ADILABAD,UTNOOR,UTNOOR,NARNOOR,MALANGI,5,Agriculture,16,0,0,95
ADILABAD,UTNOOR,UTNOOR,NARNOOR,MALAPOOR,5,Agriculture,3,0,0,20
ADILABAD,UTNOOR,UTNOOR,NARNOOR,MANKAPOOR,5,Agriculture,44,0,0,220
ADILABAD,UTNOOR,UTNOOR,NARNOOR,MARRAPPAGUDA H/O NAG,5,Agriculture,1,0,0,5
ADILABAD,UTNOOR,UTNOOR,NARNOOR,MEDIGUDA,5,Agriculture,10,0,0,50
ADILABAD,UTNOOR,UTNOOR,NARNOOR,MUKTHAPUR,5,Agriculture,12,0,0,60
ADILABAD,UTNOOR,UTNOOR,NARNOOR,NADDUMGUDA,5,Agriculture,10,0,0,50
ADILABAD,UTNOOR,UTNOOR,NARNOOR,NAGALKONDA,5,Agriculture,100,0,0,500
ADILABAD,UTNOOR,UTNOOR,NARNOOR,NARNOOR,5,Agriculture,37,0,0,185
